DATE,USEPUINDXD
1998-12-07,32.86000
1998-12-14,80.07000
1998-12-21,124.07000
1998-12-28,116.68000
1999-01-04,104.50000
1999-01-11,67.10000
1999-01-18,46.82000
1999-01-25,64.16000
1999-02-01,146.65000
1999-02-08,46.61000
1999-02-15,117.03000
1999-02-22,44.71000
1999-03-01,56.64000
1999-03-08,48.80000
1999-03-15,59.41000
1999-03-22,37.50000
1999-03-29,22.11000
1999-04-05,70.18000
1999-04-12,106.12000
1999-04-19,58.92000
1999-04-26,126.29000
1999-05-03,29.71000
1999-05-10,45.13000
1999-05-17,108.35000
1999-05-24,44.35000
1999-05-31,53.14000
1999-06-07,15.21000
1999-06-14,29.77000
1999-06-21,45.86000
1999-06-28,39.19000
1999-07-05,54.43000
1999-07-12,54.85000
1999-07-19,54.16000
1999-07-26,121.45000
1999-08-02,52.98000
1999-08-09,85.66000
1999-08-16,61.76000
1999-08-23,84.06000
1999-08-30,37.68000
1999-09-06,78.78000
1999-09-13,43.76000
1999-09-20,51.43000
1999-09-27,94.70000
1999-10-04,124.98000
1999-10-11,41.07000
1999-10-18,82.63000
1999-10-25,34.20000
1999-11-01,48.10000
1999-11-08,74.63000
1999-11-15,61.09000
1999-11-22,61.06000
1999-11-29,28.83000
1999-12-06,56.13000
1999-12-13,32.57000
1999-12-20,48.12000
1999-12-27,68.92000
2000-01-03,35.73000
2000-01-10,44.18000
2000-01-17,29.56000
2000-01-24,35.57000
2000-01-31,55.95000
2000-02-07,42.67000
2000-02-14,54.69000
2000-02-21,35.10000
2000-02-28,54.00000
2000-03-06,74.38000
2000-03-13,39.65000
2000-03-20,75.61000
2000-03-27,87.28000
2000-04-03,33.83000
2000-04-10,47.49000
2000-04-17,73.74000
2000-04-24,85.56000
2000-05-01,52.41000
2000-05-08,67.21000
2000-05-15,86.90000
2000-05-22,149.16000
2000-05-29,90.98000
2000-06-05,28.17000
2000-06-12,57.43000
2000-06-19,56.18000
2000-06-26,93.77000
2000-07-03,58.73000
2000-07-10,22.28000
2000-07-17,41.82000
2000-07-24,71.02000
2000-07-31,72.25000
2000-08-07,35.46000
2000-08-14,99.39000
2000-08-21,42.37000
2000-08-28,20.59000
2000-09-04,95.25000
2000-09-11,89.17000
2000-09-18,12.73000
2000-09-25,88.30000
2000-10-02,64.07000
2000-10-09,32.69000
2000-10-16,69.39000
2000-10-23,37.47000
2000-10-30,43.30000
2000-11-06,61.20000
2000-11-13,85.32000
2000-11-20,315.77000
2000-11-27,72.64000
2000-12-04,147.90000
2000-12-11,75.80000
2000-12-18,108.63000
2000-12-25,81.22000
2001-01-01,226.65000
2001-01-08,163.27000
2001-01-15,61.60000
2001-01-22,132.41000
2001-01-29,89.01000
2001-02-05,102.29000
2001-02-12,46.81000
2001-02-19,72.40000
2001-02-26,71.28000
2001-03-05,142.41000
2001-03-12,101.86000
2001-03-19,106.53000
